trades,wins,losses,win_rate,profit_factor,net_profit_pct,max_drawdown_pct,expectancy_pct,avg_trade_pct,best_trade_pct,worst_trade_pct,strategy,symbol,interval,provider,candles,params,params_label,composite_score
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,PEPEUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,ICPUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,ADAUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,BNBUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,LINKUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,BCHUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,AVAXUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,DOTUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,LTCUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,TRXUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,TAOUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,LYNUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,ZECUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,FILUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,RESOLVUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,NEARUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,ICXUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,PIUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,XAIUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,SIGNUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,HUMAUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,ARIAUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,COMPUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,XPLUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,KITEUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,OGNUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,ENAUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,AVNTUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,AAVEUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,NAORISUSDT,15m,bitget,2000,{},base,0.0
