trades,wins,losses,win_rate,profit_factor,net_profit_pct,max_drawdown_pct,expectancy_pct,avg_trade_pct,best_trade_pct,worst_trade_pct,strategy,symbol,interval,provider,candles,params,params_label,composite_score
12,6,6,50.0,1.08,-1.63,4.81,0.033,0.033,1.83,-1.81,gaussian_v75_profile,FILUSDT,15m,bitget,2000,{},base,0.6856
8,4,4,50.0,1.35,0.79,6.15,0.304,0.304,6.86,-6.15,gaussian_v61_profile,XAIUSDT,15m,bitget,2000,{},base,0.6841
8,4,4,50.0,1.35,0.79,6.15,0.304,0.304,6.86,-6.15,gaussian_v75_profile,XAIUSDT,15m,bitget,2000,{},base,0.6841
19,8,11,42.11,1.05,-2.47,7.49,0.025,0.025,2.4,-2.47,gaussian_v61_profile,ADAUSDT,15m,bitget,2000,{},base,0.6532
19,8,11,42.11,1.05,-2.47,7.49,0.025,0.025,2.4,-2.47,gaussian_v75_profile,ADAUSDT,15m,bitget,2000,{},base,0.6532
48,21,27,43.75,1.08,-6.36,8.84,0.024,0.024,2.09,-1.93,gaussian_v62_profile,XRPUSDT,15m,bitget,2000,{},base,0.576
12,6,6,50.0,0.87,-2.53,4.86,-0.059,-0.059,1.19,-1.93,gaussian_v61_profile,XRPUSDT,15m,bitget,2000,{},base,0.4842
12,6,6,50.0,0.87,-2.53,4.86,-0.059,-0.059,1.19,-1.93,gaussian_v75_profile,XRPUSDT,15m,bitget,2000,{},base,0.4842
52,27,25,51.92,1.1,-5.8,12.86,0.049,0.049,5.05,-6.15,gaussian_v62_profile,PIXELUSDT,15m,bitget,2000,{},base,0.3528
13,6,7,46.15,0.68,-3.4,4.4,-0.113,-0.113,0.95,-1.33,gaussian_v61_profile,BTCUSDT,15m,bitget,2000,{},base,0.325
13,6,7,46.15,0.68,-3.4,4.4,-0.113,-0.113,0.95,-1.33,gaussian_v75_profile,BTCUSDT,15m,bitget,2000,{},base,0.325
12,4,8,33.33,1.01,-2.2,10.51,0.016,0.016,4.75,-6.15,gaussian_v61_profile,PIPPINUSDT,15m,bitget,2000,{},base,0.176
12,4,8,33.33,1.01,-2.2,10.51,0.016,0.016,4.75,-6.15,gaussian_v75_profile,PIPPINUSDT,15m,bitget,2000,{},base,0.176
47,20,27,42.55,1.03,-7.18,9.69,0.01,0.01,2.27,-2.04,gaussian_v62_profile,ETHUSDT,15m,bitget,2000,{},base,0.0461
11,5,6,45.45,0.88,-4.51,11.3,-0.196,-0.196,5.31,-6.15,gaussian_v61_profile,SIRENUSDT,15m,bitget,2000,{},base,-0.0443
11,5,6,45.45,0.88,-4.51,11.3,-0.196,-0.196,5.31,-6.15,gaussian_v75_profile,SIRENUSDT,15m,bitget,2000,{},base,-0.0443
