symbol,baseCoin,granularity,profile,lookback_days,bars,trades,wins,losses,win_rate_pct,profit_factor,gross_profit_pct,gross_loss_pct,avg_trade_pct,avg_win_pct,avg_loss_pct,expectancy_pct,max_drawdown_pct,net_return_pct,quality_score,last_close,trend_state,last_signal,last_bar_utc
VINEUSDT,VINE,4H,Manual,365,441,5,4,1,80.0,820.651,43.9556,-0.0536,8.7804,10.9889,-0.0536,8.7804,-0.0536,51.2263,3282.604,0.01866,LONG,NONE,2026-03-13T00:00:00+00:00
XDCUSDT,XDC,4H,Manual,365,441,6,6,0,100.0,inf,36.4527,0.0,6.0755,6.0755,0.0,6.0755,0.0,41.5914,30.0,0.03278,SHORT,NONE,2026-03-13T00:00:00+00:00
ATOMUSDT,ATOM,4H,Manual,365,441,5,4,1,80.0,7.4243,42.0245,-5.6604,7.2728,10.5061,-5.6604,7.2728,-5.6604,40.1044,26.2324,1.8482,LONG,NONE,2026-03-13T00:00:00+00:00
PEOPLEUSDT,PEOPLE,4H,Manual,365,441,6,5,1,83.3333,5.8195,32.9403,-5.6604,4.5467,6.5881,-5.6604,4.5467,-5.6604,28.7174,25.7027,0.00753,LONG,NONE,2026-03-13T00:00:00+00:00
JUPUSDT,JUP,4H,Manual,365,441,5,5,0,100.0,inf,28.6522,0.0,5.7304,5.7304,0.0,5.7304,0.0,31.9396,25.0,0.1675,SHORT,NONE,2026-03-13T00:00:00+00:00
SUNUSDT,SUN,4H,Manual,365,441,5,5,0,100.0,inf,23.2803,0.0,4.6561,4.6561,0.0,4.6561,0.0,25.275,25.0,0.016011,LONG,NONE,2026-03-13T00:00:00+00:00
VELODROMEUSDT,VELODROME,4H,Manual,365,441,5,4,1,80.0,6.776,37.7709,-5.5742,6.4393,9.4427,-5.5742,6.4393,-5.5742,34.4625,24.312,0.016611,SHORT,NONE,2026-03-13T00:00:00+00:00
CGPTUSDT,CGPT,4H,Manual,365,441,5,4,1,80.0,6.7144,38.0062,-5.6604,6.4692,9.5015,-5.6604,6.4692,-5.6604,34.9392,23.7241,0.02183,SHORT,NONE,2026-03-13T00:00:00+00:00
LQTYUSDT,LQTY,4H,Manual,365,441,6,5,1,83.3333,5.6711,34.0268,-6.0,4.6711,6.8054,-6.0,4.6711,-6.0,29.7584,23.6296,0.3016,LONG,NONE,2026-03-13T00:00:00+00:00
CHZUSDT,CHZ,4H,Manual,365,441,8,6,2,75.0,4.5581,54.6969,-12.0,5.3371,9.1161,-6.0,5.3371,-6.0,47.9147,22.7905,0.03759,LONG,NONE,2026-03-13T00:00:00+00:00
COMPUSDT,COMP,4H,Manual,365,441,5,4,1,80.0,6.5089,39.0536,-6.0,6.6107,9.7634,-6.0,6.6107,-6.0,35.5257,21.6963,18.32,LONG,NONE,2026-03-13T00:00:00+00:00
GRIFFAINUSDT,GRIFFAIN,4H,Manual,365,441,5,4,1,80.0,6.3663,38.1977,-6.0,6.4395,9.5494,-6.0,6.4395,-6.0,34.8376,21.221,0.00994,LONG,NONE,2026-03-13T00:00:00+00:00
GUSDT,G,4H,Manual,365,441,5,4,1,80.0,5.4909,32.9453,-6.0,5.3891,8.2363,-6.0,5.3891,-6.0,28.1389,18.303,0.003436,LONG,NONE,2026-03-13T00:00:00+00:00
BSVUSDT,BSV,4H,Manual,365,441,5,4,1,80.0,5.2929,31.7572,-6.0,5.1514,7.9393,-6.0,5.1514,-6.0,26.585,17.643,15.0,LONG,NONE,2026-03-13T00:00:00+00:00
HAEDALUSDT,HAEDAL,4H,Manual,365,441,5,4,1,80.0,4.689,26.5413,-5.6604,4.1762,6.6353,-5.6604,4.1762,-5.6604,21.1729,16.5677,0.0272,LONG,NONE,2026-03-13T00:00:00+00:00
USUSDT,US,4H,Manual,365,441,8,6,2,75.0,3.4609,41.5308,-12.0,3.6913,6.9218,-6.0,3.6913,-6.2802,30.8822,16.5324,0.003836,LONG,NONE,2026-03-13T00:00:00+00:00
1MCHEEMSUSDT,1MCHEEMS,4H,Manual,365,441,7,5,2,71.4286,3.7847,44.1312,-11.6604,4.6387,8.8262,-5.8302,4.6387,-6.0,34.3259,15.7696,0.4909,LONG,NONE,2026-03-13T00:00:00+00:00
WCTUSDT,WCT,4H,Manual,365,441,6,5,1,83.3333,3.7645,22.5868,-6.0,2.7645,4.5174,-6.0,2.7645,-6.0,16.6059,15.6854,0.0607,LONG,NONE,2026-03-13T00:00:00+00:00
APEUSDT,APE,4H,Manual,365,441,6,4,2,66.6667,3.8453,44.838,-11.6604,5.5296,11.2095,-5.8302,5.5296,-6.0,35.1843,12.8177,0.0997,SHORT,NONE,2026-03-13T00:00:00+00:00
THEUSDT,THE,4H,Manual,365,441,5,4,1,80.0,3.662,21.972,-6.0,3.1944,5.493,-6.0,3.1944,-6.0,16.0387,12.2067,0.2774,LONG,NONE,2026-03-13T00:00:00+00:00
FLUIDUSDT,FLUID,4H,Manual,365,441,6,4,2,66.6667,3.6307,42.3348,-11.6604,5.1124,10.5837,-5.8302,5.1124,-6.0,31.9418,12.1023,2.274,SHORT,NONE,2026-03-13T00:00:00+00:00
