symbol,baseCoin,granularity,profile,lookback_days,bars,trades,win_rate_pct,profit_factor,max_drawdown_pct,net_return_pct,quality_score,last_close,trend_state,last_signal,last_bar_utc
1000RATSUSDT,1000RATS,4H,Base TV,120,441,10,70.0,3.5391,-6.0,42.3288,20.6447,0.04974,SHORT,NONE,2026-03-13T00:00:00+00:00
1000CATUSDT,1000CAT,4H,Base TV,120,441,11,63.6364,2.2732,-11.3208,29.6924,7.028,0.001846,LONG,NONE,2026-03-13T00:00:00+00:00
1000BONKUSDT,1000BONK,4H,Base TV,120,441,11,63.6364,2.0542,-16.6415,24.0995,4.3203,0.00623,LONG,NONE,2026-03-13T00:00:00+00:00
1000000MOGUSDT,1000000MOG,4H,Base TV,120,441,10,20.0,0.6883,-29.3939,-16.2748,0.2342,0.1621,SHORT,NONE,2026-03-13T00:00:00+00:00
