symbol,baseCoin,granularity,profile,lookback_days,bars,trades,wins,losses,win_rate_pct,profit_factor,gross_profit_pct,gross_loss_pct,avg_trade_pct,avg_win_pct,avg_loss_pct,expectancy_pct,max_drawdown_pct,net_return_pct,quality_score,last_close,trend_state,last_signal,last_bar_utc
ONDOUSDT,ONDO,15m,Manual,30,2781,27,15,12,55.5556,2.6647,44.6062,-16.74,1.0321,2.9737,-1.395,1.0321,-6.2748,30.6735,23.5926,0.2698,LONG,NONE,2026-03-13T11:30:00+00:00
DOTUSDT,DOT,15m,Manual,30,2781,31,20,11,64.5161,2.1428,39.0321,-18.2155,0.6715,1.9516,-1.656,0.6715,-5.9075,22.0441,23.4016,1.513,SHORT,NONE,2026-03-13T11:30:00+00:00
WETUSDT,WET,15m,Manual,30,2781,33,23,10,69.697,3.0451,92.1667,-30.2674,1.8757,4.0072,-3.0267,1.8757,-9.1321,79.0706,23.2405,0.1038,SHORT,NONE,2026-03-13T11:45:00+00:00
AIXBTUSDT,AIXBT,15m,Manual,30,2781,27,18,9,66.6667,2.9353,54.1489,-18.4478,1.3223,3.0083,-2.0498,1.3223,-8.4312,40.325,23.2098,0.02718,LONG,NONE,2026-03-13T11:30:00+00:00
HYPEUSDT,HYPE,15m,Manual,30,2781,31,19,12,61.2903,3.0185,47.6908,-15.7993,1.0288,2.51,-1.3166,1.0288,-8.0968,35.9952,22.8491,37.34,SHORT,NONE,2026-03-13T11:30:00+00:00
ACTUSDT,ACT,15m,Manual,30,2781,43,28,15,65.1163,3.3408,63.8787,-19.1208,1.0409,2.2814,-1.2747,1.0409,-9.536,54.2455,22.8126,0.01406,LONG,NONE,2026-03-13T11:30:00+00:00
BIOUSDT,BIO,15m,Manual,30,2781,27,15,12,55.5556,3.1376,40.8231,-13.0111,1.0301,2.7215,-1.0843,1.0301,-7.9108,30.5692,22.0346,0.02112,LONG,NONE,2026-03-13T11:30:00+00:00
USTCUSDT,USTC,15m,Manual,30,2781,36,24,12,66.6667,2.5316,41.7128,-16.4768,0.701,1.738,-1.3731,0.701,-7.6942,27.5089,21.9351,0.00504,SHORT,NONE,2026-03-13T11:45:00+00:00
GOATUSDT,GOAT,15m,Manual,30,2781,41,24,17,58.5366,2.3382,48.847,-20.8912,0.6818,2.0353,-1.2289,0.6818,-6.2921,31.0198,21.7527,0.02,LONG,NONE,2026-03-13T11:30:00+00:00
LINEAUSDT,LINEA,15m,Manual,30,2781,39,27,12,69.2308,3.3788,73.9932,-21.8993,1.3357,2.7405,-1.8249,1.3357,-10.8132,64.97,21.6325,0.003363,SHORT,NONE,2026-03-13T11:30:00+00:00
JCTUSDT,JCT,15m,Manual,30,2781,28,18,10,64.2857,3.559,101.752,-28.5898,2.6129,5.6529,-2.859,2.6129,-10.6705,98.1427,21.4416,0.001851,LONG,NONE,2026-03-13T11:30:00+00:00
LPTUSDT,LPT,15m,Manual,30,2781,33,21,12,63.6364,2.6657,49.1881,-18.4519,0.9314,2.3423,-1.5377,0.9314,-7.9526,34.4496,21.3308,2.299,LONG,NONE,2026-03-13T11:30:00+00:00
CYBERUSDT,CYBER,15m,Manual,30,2781,21,11,10,52.381,2.2255,33.3969,-15.0064,0.8757,3.0361,-1.5006,0.8757,-5.6022,19.0347,20.8086,0.5438,SHORT,NONE,2026-03-13T11:30:00+00:00
BASUSDT,BAS,15m,Manual,30,2781,26,19,7,73.0769,4.2472,138.9318,-32.7116,4.0854,7.3122,-4.6731,4.0854,-14.9196,167.3153,20.803,0.009138,LONG,NONE,2026-03-13T11:30:00+00:00
BANANAS31USDT,BANANAS31,15m,Manual,30,2781,28,20,8,71.4286,3.0036,63.0182,-20.9812,1.5013,3.1509,-2.6227,1.5013,-10.4528,48.6259,20.5249,0.008028,LONG,NONE,2026-03-13T11:30:00+00:00
ARPAUSDT,ARPA,15m,Manual,30,2781,33,18,15,54.5455,1.8661,35.6093,-19.0817,0.5008,1.9783,-1.2721,0.5008,-4.551,16.9543,20.3575,0.01014,LONG,NONE,2026-03-13T11:30:00+00:00
GALAUSDT,GALA,15m,Manual,30,2781,31,19,12,61.2903,2.0357,44.2794,-21.7517,0.7267,2.3305,-1.8126,0.7267,-6.1691,24.0022,20.2248,0.003558,LONG,NONE,2026-03-13T11:30:00+00:00
ROBOUSDT,ROBO,15m,Manual,30,1253,8,6,2,75.0,4.0371,33.7478,-8.3593,3.1736,5.6246,-4.1797,3.1736,-6.0,26.5726,20.1855,0.03973,SHORT,NONE,2026-03-13T11:45:00+00:00
VELVETUSDT,VELVET,15m,Manual,30,2781,40,22,18,55.0,2.2705,52.4719,-23.1104,0.734,2.3851,-1.2839,0.734,-6.4478,31.8877,19.3675,0.07908,LONG,NONE,2026-03-13T11:45:00+00:00
ARBUSDT,ARB,15m,Manual,30,2781,26,16,10,61.5385,2.184,39.0884,-17.8976,0.815,2.443,-1.7898,0.815,-7.0642,22.4101,19.0255,0.1043,LONG,NONE,2026-03-13T11:30:00+00:00
GUNUSDT,GUN,15m,Manual,30,2781,29,18,11,62.069,3.0555,75.7721,-24.7988,1.7577,4.2096,-2.2544,1.7577,-9.9716,62.0004,19.0192,0.01636,SHORT,NONE,2026-03-13T11:30:00+00:00
ESPUSDT,ESP,15m,Manual,30,2679,20,12,8,60.0,2.2601,78.1394,-34.5737,2.1783,6.5116,-4.3217,2.1783,-7.1538,48.1862,18.9558,0.10492,SHORT,NONE,2026-03-13T11:30:00+00:00
4USDT,4,15m,Manual,30,2781,33,21,12,63.6364,2.9287,81.7938,-27.9284,1.6323,3.8949,-2.3274,1.6323,-9.8427,66.5196,18.935,0.00823,SHORT,NONE,2026-03-13T11:30:00+00:00
ALLOUSDT,ALLO,15m,Manual,30,2781,38,26,12,68.4211,3.1316,89.9205,-28.7135,1.6107,3.4585,-2.3928,1.6107,-11.3208,78.3765,18.9269,0.1233,SHORT,NONE,2026-03-13T11:30:00+00:00
FORTHUSDT,FORTH,15m,Manual,30,2781,41,26,15,63.4146,2.6781,61.0223,-22.7853,0.9326,2.347,-1.519,0.9326,-9.0306,44.3766,18.8061,0.9158,LONG,NONE,2026-03-13T11:30:00+00:00
IOUSDT,IO,15m,Manual,30,2781,37,22,15,59.4595,2.8784,68.9843,-23.9666,1.2167,3.1356,-1.5978,1.2167,-9.1068,53.6503,18.7935,0.1162,SHORT,NONE,2026-03-13T11:30:00+00:00
APTUSDT,APT,15m,Manual,30,2781,18,10,8,55.5556,1.9314,28.9836,-15.0063,0.7765,2.8984,-1.8758,0.7765,-5.2439,13.9414,18.4157,0.9304,SHORT,NONE,2026-03-13T11:30:00+00:00
GRASSUSDT,GRASS,15m,Manual,30,2781,23,16,7,69.5652,3.173,69.9631,-22.0493,2.0832,4.3727,-3.1499,2.0832,-12.0401,56.693,18.3329,0.3721,LONG,NONE,2026-03-13T11:30:00+00:00
COOKIEUSDT,COOKIE,15m,Manual,30,2781,49,35,14,71.4286,2.7212,71.5583,-26.2967,0.9237,2.0445,-1.8783,0.9237,-10.6251,54.2767,18.2936,0.0199,SHORT,NONE,2026-03-13T11:30:00+00:00
SOPHUSDT,SOPH,15m,Manual,30,2781,50,32,18,64.0,2.2934,54.4026,-23.7216,0.6136,1.7001,-1.3179,0.6136,-8.0654,34.2211,18.1984,0.00862,SHORT,NONE,2026-03-13T11:45:00+00:00
XPLUSDT,XPL,15m,Manual,30,2781,35,24,11,68.5714,2.9696,100.3935,-33.8074,1.9025,4.1831,-3.0734,1.9025,-11.3208,87.5011,17.9872,0.1093,LONG,NONE,2026-03-13T11:45:00+00:00
ZILUSDT,ZIL,15m,Manual,30,2781,25,15,10,60.0,1.7861,25.3172,-14.1744,0.4457,1.6878,-1.4174,0.4457,-5.9935,11.0735,17.8804,0.004198,SHORT,NONE,2026-03-13T11:45:00+00:00
ATUSDT,AT,15m,Manual,30,2781,45,24,21,53.3333,1.938,33.197,-17.1297,0.3571,1.3832,-0.8157,0.3571,-5.8044,16.583,17.8072,0.1456,LONG,NONE,2026-03-13T11:30:00+00:00
AIOUSDT,AIO,15m,Manual,30,2781,32,17,15,53.125,2.1687,61.9969,-28.5869,1.0441,3.6469,-1.9058,1.0441,-6.9486,35.8499,16.5806,0.08073,SHORT,NONE,2026-03-13T11:30:00+00:00
STABLEUSDT,STABLE,15m,Manual,30,2781,32,20,12,62.5,1.998,62.4003,-31.2309,0.974,3.12,-2.6026,0.974,-7.6159,33.3799,16.3966,0.0289,LONG,NONE,2026-03-13T11:45:00+00:00
ZBCNUSDT,ZBCN,15m,Manual,30,2781,35,22,13,62.8571,2.4615,47.5803,-19.3295,0.8072,2.1627,-1.4869,0.8072,-9.7015,31.3007,15.9483,0.002043,LONG,NONE,2026-03-13T11:45:00+00:00
PIEVERSEUSDT,PIEVERSE,15m,Manual,30,2781,40,27,13,67.5,2.0583,65.613,-31.8768,0.8434,2.4301,-2.4521,0.8434,-8.8919,37.0904,15.6249,0.49746,SHORT,NONE,2026-03-13T11:45:00+00:00
RESOLVUSDT,RESOLV,15m,Manual,30,2781,37,23,14,62.1622,2.4863,68.5694,-27.5794,1.1078,2.9813,-1.97,1.1078,-10.2208,46.1666,15.1215,0.08379,SHORT,NONE,2026-03-13T11:45:00+00:00
KGENUSDT,KGEN,15m,Manual,30,2781,40,29,10,72.5,2.5505,65.4578,-25.6645,0.9948,2.2572,-2.5665,0.9307,-12.3267,46.1096,15.0009,0.18761,LONG,LONG,2026-03-13T11:30:00+00:00
EULUSDT,EUL,15m,Manual,30,2781,26,18,8,69.2308,2.4473,45.3273,-18.5213,1.031,2.5182,-2.3152,1.031,-11.3208,28.7904,14.9661,0.956,LONG,NONE,2026-03-13T11:30:00+00:00
NEARUSDT,NEAR,15m,Manual,30,2781,22,13,9,59.0909,1.3725,22.098,-16.1005,0.2726,1.6998,-1.7889,0.2726,-5.439,5.6245,14.9112,1.3477,SHORT,NONE,2026-03-13T11:30:00+00:00
C98USDT,C98,15m,Manual,30,2781,37,24,13,64.8649,2.0936,67.9404,-32.452,0.9591,2.8308,-2.4963,0.9591,-9.2685,39.5427,14.6519,0.02737,SHORT,NONE,2026-03-13T11:30:00+00:00
